Id,User,Text,Date,Request 
"1308041720483819523","jakeyeets","RT @Dan_Curtin: Welcome to viva la bam today we’re gonna wake up my dad earlier than usual.","Mon Sep 21 15:53:43 CEST 2020","bam"
"1308041718927970305","AymanZiat","RT @Ryo_Sensei_TV: Bam https://t.co/iSRIrTqBrg","Mon Sep 21 15:53:42 CEST 2020","bam"
"1308041715647950848","bam_gomez","RT @clalvarezmin: @MaxKaiser75 https://t.co/hbZu9RM3er","Mon Sep 21 15:53:41 CEST 2020","bam"
"1308041701995343873","hello_bam_","@mona_bjd 모나님 능력자,,👀👀이런 귀요미템을 만드시다뇨~!!👍🏻✨","Mon Sep 21 15:53:38 CEST 2020","bam"
"1308041701571792896","bam_atpybpk","RT @karmagotmyback: พอได้แล้ว กุไหว้หล่ะ https://t.co/XsXtHZCGE5","Mon Sep 21 15:53:38 CEST 2020","bam"
"1308041674984095746","bam_yaong","RT @dongsengzip: https://t.co/1au4FmSj2K","Mon Sep 21 15:53:32 CEST 2020","bam"
"1308041673285328903","bam_kang02","한지보다 세지가좋다 세지가 훨배쉽다","Mon Sep 21 15:53:31 CEST 2020","bam"
"1308041670617952256","0n_Bam_Dim0n","@D_MOlOtO4ek Не, не дошол","Mon Sep 21 15:53:31 CEST 2020","bam"
"1308041669447544833","Bam_Be_Mine","RT @creamygif: 200921
#주연 #더보이즈
https://t.co/5FvdvjX9ql https://t.co/tmzXgj80bc","Mon Sep 21 15:53:30 CEST 2020","bam"
"1308043125483597829","fifty_fifty140","@Cheik140 Il est même trop à l’aise ils nous a blaguer sur sancho depuis on attends octobre sa arrive bientôt on ce voir","Mon Sep 21 15:59:18 CEST 2020","sancho"
"1308043116478230528","VBG_10","@FabrizioRomano no united fans. There is no sancho news.","Mon Sep 21 15:59:15 CEST 2020","sancho"
"1308043106609172480","MardakK","RT @mbrt95: Dembele prime c'est sa saison à Dortmund la ?
Pas sur qu'elle soit au dessus de celle de Sancho déjà","Mon Sep 21 15:59:13 CEST 2020","sancho"
"1308043103341694978","wesley79519111","@ITK_PL Still reckon united will get sancho?","Mon Sep 21 15:59:12 CEST 2020","sancho"
"1308043103132094465","MagicAndre1981","RT @DasDoHD: "Mit jeder Faser seines bulligen Körpers strahlt (#Haaland) die Bereitschaft zur Attacke aus - und zieht seine Mitspieler erke…","Mon Sep 21 15:59:12 CEST 2020","sancho"
"1308043101773139968","Vicker38944084","@FabrizioRomano Any news about telles and Sancho","Mon Sep 21 15:59:12 CEST 2020","sancho"
"1308043100783337474","UtdDamil","@FabrizioRomano Sancho to United here we go?","Mon Sep 21 15:59:12 CEST 2020","sancho"
"1308043068185153536","Hassan_RMA_","@FCMartial_ @FabrizioRomano Manchester united 

Trophyless for 3 years ✅

CB went to jail ✅

Still waiting for Ronaldo to come back ✅

Lost 3-1 season opener to crystal palace ✅

Failed to sign Sancho ✅","Mon Sep 21 15:59:04 CEST 2020","sancho"
"1308043067518341120","Sancho_bdn","RT @JanainaDoBrasil: Eu só queria que alguém explicasse qual o problema de o Secretário americano, Mike Pompeo, ter visitado o país! O pess…","Mon Sep 21 15:59:04 CEST 2020","sancho"
"1308043037696638976","reegutd","@FabrizioRomano Sancho news","Mon Sep 21 15:58:57 CEST 2020","sancho"
"1308043028255383553","stradamucho","@molloluwa If sancho came he’d DEFINITELY hinder him, he’s incapable of combination play at a quick/high level. Hence why he’s like 5th choice for England","Mon Sep 21 15:58:54 CEST 2020","sancho"
"1308043024170184704","Adesurf9","@realsavanti We're still waiting for the agreement reach with Porto breakout and sancho kept looking unlikely","Mon Sep 21 15:58:53 CEST 2020","sancho"
